City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Malmesbury,ZA,2021-04-17 21:30:29,-33.4608,18.7271,66.99,82,0,4.61
269,Valparaiso,CL,2021-04-17 21:30:29,-33.0393,-71.6273,59.0,100,90,6.91
270,Puerto Carreno,CO,2021-04-17 21:30:30,6.189,-67.4859,89.92,52,91,4.61
271,Saint-Joseph,RE,2021-04-17 21:30:30,-21.3667,55.6167,71.6,94,75,5.75
272,Bani Walid,LY,2021-04-17 21:30:31,31.7566,13.9942,59.11,76,100,19.37
273,Klaksvik,FO,2021-04-17 21:30:31,62.2266,-6.589,46.4,76,100,25.32
274,Grindavik,IS,2021-04-17 21:30:32,63.8424,-22.4338,37.4,75,90,12.66
275,Lapeer,US,2021-04-17 21:26:42,43.0514,-83.3188,55.4,44,90,6.53
276,Calvia,ES,2021-04-17 21:30:32,39.5657,2.5062,46.99,58,26,4.56
277,Georgiyevka,KZ,2021-04-17 21:30:32,43.0369,74.7114,48.2,81,45,2.24
278,Yuma,US,2021-04-17 21:25:50,32.7253,-114.6244,87.8,9,1,10.36
279,Caravelas,BR,2021-04-17 21:30:33,-17.7125,-39.2481,75.18,72,78,5.73
280,Magaria,NE,2021-04-17 21:26:16,12.9983,8.9099,87.22,7,100,3.69
281,Kolpny,RU,2021-04-17 21:30:34,52.2282,37.0368,41.22,91,100,4.34
282,Chuari Khas,IN,2021-04-17 21:30:34,32.4333,76.0167,56.8,72,100,6.87
283,Xichang,CN,2021-04-17 21:30:35,27.8964,102.2634,58.84,77,91,1.39
284,Souillac,MU,2021-04-17 21:30:35,-20.5167,57.5167,77.0,88,75,8.05
285,Soplaviento,CO,2021-04-17 21:30:36,10.3931,-75.1408,86.0,79,75,14.97
286,Kutum,SD,2021-04-17 21:30:36,14.2,24.6667,72.88,11,15,9.1
287,Shache,CN,2021-04-17 21:30:36,38.4167,77.2406,57.45,41,96,1.66
288,Zambezi,ZM,2021-04-17 21:30:37,-13.5432,23.1047,66.58,57,94,7.14
289,Byron Bay,AU,2021-04-17 21:30:37,-28.65,153.6167,59.0,82,91,12.66
290,Belmonte,BR,2021-04-17 21:30:38,-15.8631,-38.8828,77.0,78,20,8.05
291,Aasiaat,GL,2021-04-17 21:30:38,68.7098,-52.8699,8.73,84,100,8.97
