City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.77,84,59,5.66,broken clouds
327,Mountain Home,US,43.133,-115.6912,64.4,12,1,8.01,clear sky
328,Araouane,ML,18.9048,-3.5265,81.82,18,21,8.61,few clouds
329,Holland,US,42.7875,-86.1089,42.01,60,1,4.61,clear sky
330,Concepcion Del Oro,MX,24.6333,-101.4167,71.46,7,7,8.88,clear sky
331,Beloha,MG,-25.1667,45.05,62.13,59,67,6.55,broken clouds
332,Husavik,IS,66.0449,-17.3389,37.4,100,90,5.75,overcast clouds
333,Ulladulla,AU,-35.35,150.4667,64.99,72,90,4.61,overcast clouds
334,Cacador,BR,-26.7753,-51.015,55.89,99,46,1.86,scattered clouds
335,Provideniya,RU,64.3833,-173.3,32.29,90,92,6.17,overcast clouds
336,Khani,GE,41.9563,42.9566,59.0,82,90,10.36,overcast clouds
337,Taoudenni,ML,22.6783,-3.9836,82.2,15,0,8.3,clear sky
338,Souillac,MU,-20.5167,57.5167,75.2,94,40,6.91,light rain
339,Kudahuvadhoo,MV,2.6708,72.8944,82.76,67,50,8.9,scattered clouds
340,Miandrivazo,MG,-19.5167,45.4667,71.29,59,77,1.83,broken clouds
341,Kahului,US,20.8947,-156.47,78.8,65,40,13.8,scattered clouds
342,Vitim,RU,59.4511,112.5578,14.43,79,77,10.16,broken clouds
343,Agirish,RU,61.9247,63.0231,16.92,86,100,11.7,overcast clouds
344,Port Hedland,AU,-20.3167,118.5667,86.0,21,0,20.71,clear sky
345,Cayenne,GF,4.9333,-52.3333,81.0,74,96,6.91,overcast clouds
